Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
[Classification],,"Androutsopoulos, J. et al.",,,,Text,,,,,,,,,Corpus containing both legitimate and spam emails.,Ling-Spam Dataset,,2000
[Classification],,T. Almeida et al.,,,,Text,,,,,5574,,,,Collected SMS spam messages.,SMS Spam Collection Dataset,,2011
[Natural language processing],,T. Mitchell et al.,,,,Text,,,,,20000,,,,Messages from 20 different newsgroups.,Twenty Newsgroups Dataset,,1999
"[Spam detection,  classification]",,M. Hopkins et al.,,,,Text,,,,,4601,,,,Spam emails.,Spambase Dataset,,1999
[Cross-media retrival],,"Y. Hu, et al.",,,,Text and Images,,,,,100000,,,,Pairs of images and tweets,Twitter100k,,2017
[Sentiment analysis],,A. Go et al.,,,,Tweets  comma  separated values,,,,,1578627,,,,"Tweet data from 2009 including original text, time stamp, user and sentiment.",Sentiment140,,2009
"[Clustering,  graph analysis]",,R. Zafarani et al.,,,,Text,,,,,"11,316,811 users, 85,331,846 connections",,,,"Twitter network data, not actual tweets. Shows connections between a large number of users.",ASU Twitter Dataset,,2009
"[Clustering,  graph analysis]",,J. McAuley et al.,,,,Text,,,,,1768149,,,,Large twitter network data.,SNAP Social Circles: Twitter Database,,2012
[Classification],,N. Abdulla,,,,Text,,,,,2000,,,,Arabic tweets.,Twitter Dataset for Arabic Sentiment Analysis,,2014
"[Regression,  Classification]",,F. Kawala et al.,,,,Text,,,,,140000,,,,Data from Twitter and Tom's Hardware. This dataset focuses on specific buzz topics being discussed on those sites.,Buzz in Social Media Dataset,,2013
"[Regression,  Classification]",,Xu et al.,,,,Text,,,,,18762,,,,This dataset focuses on whether tweets have (almost) same meaning/information or not. Manually labeled.,Paraphrase and Semantic Similarity in Twitter (PIT),,2015
"[Summarization, 
citation analysis
]",,F. Galgani et al.,,,,Text,,,,,4000,,,,Federal Court of Australia cases from 2006 to 2009.,Legal Case Reports,,2012
"[Sentiment analysis,  summarization,  classification]",,J. Schler et al.,,,,Text,,,,,681288,,,,"Blog entries of 19,320 people from blogger.com.",Blogger Authorship Corpus,,2006
"[Network analysis,  clustering]",,A. Traud et al.,,,,Text,,,,,100 colleges covered,,,,Large dataset of the social structure of Facebook.,Social Structure of Facebook Networks,,2012
